epoch 152 , loss = 0.9714344847039529 , time = 21.462353944778442
epoch 153 , loss = 1.0783833719785927 , time = 18.98959732055664
epoch 154 , loss = 0.8634289247867092 , time = 24.19292116165161
epoch 155 , loss = 0.7330070930929208 , time = 24.2036452293396
epoch 156 , loss = 0.6373931166558798 , time = 21.674052953720093
epoch 157 , loss = 0.6553673409402863 , time = 21.281376838684082
epoch 158 , loss = 0.783977325088575 , time = 21.894253253936768
epoch 159 , loss = 0.7744619464873215 , time = 23.435171365737915
epoch 160 , loss = 0.6315503865303705 , time = 21.690455436706543
epoch 161 , loss = 0.8074723487858166 , time = 19.996561765670776
epoch 162 , loss = 0.7513919262910164 , time = 23.808400869369507
epoch 163 , loss = 0.8080878060112592 , time = 23.856255769729614
epoch 164 , loss = 0.6691100056457457 , time = 18.157016277313232
epoch 165 , loss = 0.6382780880107946 , time = 17.29087233543396
epoch 166 , loss = 0.7562231657380916 , time = 17.498467445373535
epoch 167 , loss = 0.6529225219219654 , time = 20.06121587753296
epoch 168 , loss = 0.6565067106788037 , time = 21.001644134521484
epoch 169 , loss = 0.6877081905811345 , time = 17.621323347091675
epoch 170 , loss = 0.6518299408205642 , time = 17.405405282974243
epoch 171 , loss = 0.8000972143601359 , time = 17.51009488105774
epoch 172 , loss = 0.8021851442040835 , time = 17.303990364074707
epoch 173 , loss = 0.7781569517618059 , time = 18.996474981307983
epoch 174 , loss = 1.1775348942122708 , time = 17.25096321105957
epoch 175 , loss = 0.7840096494392301 , time = 18.49840784072876
epoch 176 , loss = 0.87436432350386 , time = 21.802752256393433
epoch 177 , loss = 0.8529784379754884 , time = 21.750741243362427
epoch 178 , loss = 0.7336910090736372 , time = 21.832239866256714
epoch 179 , loss = 0.9724314131838627 , time = 23.533145427703857
epoch 180 , loss = 0.8139352070316298 , time = 24.336576223373413
epoch 181 , loss = 0.7725371547852882 , time = 23.173524141311646
epoch 182 , loss = 0.8157181292850123 , time = 24.063348293304443
epoch 183 , loss = 0.744000123227517 , time = 23.628607511520386
epoch 184 , loss = 0.7409449687737947 , time = 23.892317056655884
epoch 185 , loss = 0.7891666745707477 , time = 18.661934852600098
epoch 186 , loss = 0.8325698861829955 , time = 16.363855361938477
epoch 187 , loss = 0.9466926998799714 , time = 16.314639806747437
epoch 188 , loss = 1.0289911136812515 , time = 16.456588745117188
epoch 189 , loss = 0.7955678562780536 , time = 16.707244157791138
epoch 190 , loss = 1.0764164511155363 , time = 17.802350282669067
epoch 191 , loss = 0.7522764993386446 , time = 22.88971519470215
epoch 192 , loss = 0.7811507270835164 , time = 18.45162534713745
epoch 193 , loss = 0.7354518623565431 , time = 16.666975736618042
epoch 194 , loss = 1.092137587106655 , time = 17.51552128791809
epoch 195 , loss = 0.772502608996062 , time = 17.320682525634766
epoch 196 , loss = 0.7125334824169568 , time = 18.696258544921875
epoch 197 , loss = 1.0220668023271695 , time = 23.662764072418213
epoch 198 , loss = 0.8541905925743208 , time = 22.053443431854248
epoch 199 , loss = 0.9141436764343296 , time = 16.573891401290894
epoch 200 , loss = 0.8069633569257042 , time = 16.506060123443604
epoch 201 , loss = 0.8679422134220262 , time = 16.520368576049805
epoch 202 , loss = 0.7965877449264274 , time = 16.309002161026
epoch 203 , loss = 0.7218736074632703 , time = 16.361196517944336
epoch 204 , loss = 0.7841619070619579 , time = 16.30518102645874
epoch 205 , loss = 0.7495710521835126 , time = 16.7155122756958
epoch 206 , loss = 0.8618065011669921 , time = 16.20718741416931
epoch 207 , loss = 1.1940336035851544 , time = 16.48069453239441
epoch 208 , loss = 1.5131180552675108 , time = 16.347059726715088
epoch 209 , loss = 1.1633504125733662 , time = 16.416314601898193
epoch 210 , loss = 1.2478404140777457 , time = 16.382678270339966
epoch 211 , loss = 1.574805858354197 , time = 16.420809030532837
epoch 212 , loss = 1.5141815370225638 , time = 16.713101148605347
epoch 213 , loss = 1.511082001703822 , time = 22.03774929046631
epoch 214 , loss = 1.5974821071810785 , time = 22.08232593536377
epoch 215 , loss = 1.5649241488877759 , time = 20.783976316452026
epoch 216 , loss = 1.5319254287818538 , time = 22.524555683135986
epoch 217 , loss = 1.3915650511142263 , time = 16.167593240737915
epoch 218 , loss = 1.5614931310051494 , time = 16.919514894485474
epoch 219 , loss = 1.315634863684031 , time = 18.361937284469604
epoch 220 , loss = 1.4457290228957997 , time = 16.151077270507812
epoch 221 , loss = 1.1828704390066085 , time = 20.61179232597351
epoch 222 , loss = 1.3315460236234264 , time = 19.645644187927246
epoch 223 , loss = 1.1932660759913574 , time = 17.452092170715332
epoch 224 , loss = 1.1171487560445792 , time = 22.011857986450195
epoch 225 , loss = 1.3463403104241907 , time = 21.008360385894775
epoch 226 , loss = 1.183165884372544 , time = 20.577576398849487
epoch 227 , loss = 1.2072148575036732 , time = 22.332412481307983
epoch 228 , loss = 1.187989324007435 , time = 21.166223287582397
epoch 229 , loss = 1.3018581732294852 , time = 20.585330724716187
epoch 230 , loss = 1.4229164571826143 , time = 17.424524784088135
epoch 231 , loss = 1.1189900109804423 , time = 16.074851036071777
epoch 232 , loss = 1.3245971021111331 , time = 19.095595836639404
epoch 233 , loss = 1.1444946418378632 , time = 21.379477977752686
epoch 234 , loss = 1.0224029290094154 , time = 21.189279794692993
epoch 235 , loss = 1.0549221430423048 , time = 20.00909161567688
epoch 236 , loss = 1.0877305877231773 , time = 18.071361303329468
epoch 237 , loss = 1.3787809460123939 , time = 20.914735555648804
epoch 238 , loss = 1.401694275580003 , time = 20.736412525177002
epoch 239 , loss = 1.6277617808894087 , time = 21.587504863739014
epoch 240 , loss = 1.55853178922428 , time = 20.748773097991943
epoch 241 , loss = 1.287633744248383 , time = 18.436502933502197
epoch 242 , loss = 1.0907118949605936 , time = 22.93394708633423
epoch 243 , loss = 1.1823137815759535 , time = 16.072975397109985
epoch 244 , loss = 1.0786488230589735 , time = 16.127063035964966
epoch 245 , loss = 1.1053720295165201 , time = 22.997045040130615
epoch 246 , loss = 1.344064468673781 , time = 23.056055307388306
epoch 247 , loss = 1.1023649836628147 , time = 20.65694522857666
epoch 248 , loss = 1.3059158985474772 , time = 18.366867065429688
epoch 249 , loss = 1.0956636674684768 , time = 16.27793574333191
epoch 250 , loss = 1.0938874503108573 , time = 16.14296793937683
epoch 251 , loss = 1.1152224500351562 , time = 16.734341621398926
epoch 252 , loss = 1.113129987147407 , time = 21.35447120666504
epoch 253 , loss = 1.081855083447545 , time = 21.813169956207275
epoch 254 , loss = 1.0089627855206649 , time = 21.8634192943573
epoch 255 , loss = 1.1163587643642818 , time = 20.45612406730652
epoch 256 , loss = 1.0710595896747601 , time = 17.824925184249878
epoch 257 , loss = 1.0141522889525123 , time = 23.171281099319458
epoch 258 , loss = 1.0720124326465128 , time = 20.91240620613098
epoch 259 , loss = 1.0868590588376335 , time = 20.58562922477722
epoch 260 , loss = 0.9882095162288136 , time = 22.38565468788147
